127.0.0.1 - - [29/Jan/2020:01:30:46 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:47 +0900] "GET /test/res/lecture.jsp HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:47 +0900] "GET /test/res/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:47 +0900] "GET /test/res/css/customize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:47 +0900] "GET /test/res/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:47 +0900] "GET /test/res/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:53 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 6720
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:30:53 +0900] "GET /test/res/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:33:48 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 6720
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:33:52 +0900] "GET /test/res/lecture.jsp?lectureName=C HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:33:59 +0900] "GET /test/res/lecture.jsp?lectureName=Java HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:42:08 +0900] "GET /test/res/lecture.jsp?lectureName=Java HTTP/1.1" 200 4579
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:43:08 +0900] "GET /test/res/lecture.jsp?lectureName=Java HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:45:38 +0900] "GET /test/res/loginForm.jsp HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:46:12 +0900] "GET /test/res/loginForm.jsp HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:46:29 +0900] "GET /test/res/loginForm.jsp HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [29/Jan/2020:01:46:34 +0900] "GET /test/res/registerForm.jsp HTTP/1.1" 200 3505
