0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/bdel.do?bid=c&bname=c HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:26 +0900] "GET /gtg/board/bdel.do?bid=&bname= HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:26 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:26 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:16 +0900] "GET /gtg/board/bcontent.do HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:26 +0900] "GET /gtg/board/boardinsert.do?bname=%EA%B4%80%EB%A6%AC%EC%9E%90&bpw=rhksflwk&bcontent=rhksflwk HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:28 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:28 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.6 HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:32 +0900] "GET /gtg/board/bdel.do?bid=admin&bname=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:32 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:41:32 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:07 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 5118
